ref,deadline,category,reward,teamCount,userHasEntered,No competitions found,comp
https://www.kaggle.com/competitions/titanic,2030-01-01 00:00:00,Getting Started,Knowledge,12975.0,False,,titanic
https://www.kaggle.com/competitions/house-prices-advanced-regression-techniques,2030-01-01 00:00:00,Getting Started,Knowledge,4707.0,False,,house-prices-advanced-regression-techniques
https://www.kaggle.com/competitions/home-data-for-ml-course,2030-01-01 23:59:00,Getting Started,Knowledge,4341.0,False,,home-data-for-ml-course
https://www.kaggle.com/competitions/hull-tactical-market-prediction,2026-06-16 23:59:00,Featured,"100,000 Usd",3677.0,False,,hull-tactical-market-prediction
https://www.kaggle.com/competitions/csiro-biomass,2026-01-28 23:59:00,Research,"75,000 Usd",3592.0,False,,csiro-biomass
https://www.kaggle.com/competitions/santa-2025,2026-01-30 23:59:00,Featured,"50,000 Usd",3097.0,False,,santa-2025
https://www.kaggle.com/competitions/playground-series-s6e1,2026-01-31 23:59:00,Playground,Swag,2556.0,False,,playground-series-s6e1
https://www.kaggle.com/competitions/spaceship-titanic,2030-01-01 00:00:00,Getting Started,Knowledge,2291.0,False,,spaceship-titanic
https://www.kaggle.com/competitions/cafa-6-protein-function-prediction,2026-02-02 23:59:00,Research,"50,000 Usd",1900.0,False,,cafa-6-protein-function-prediction
https://www.kaggle.com/competitions/recodai-luc-scientific-image-forgery-detection,2026-05-06 23:59:00,Research,"55,000 Usd",1564.0,False,,recodai-luc-scientific-image-forgery-detection
